rel_day,aar,car,n_events,ticker,n_events_ticker
-5,0.00014388899237796358,0.00014388899237796358,474,AAPL,476
-4,0.0003214401240926587,0.0004653291164706223,475,AAPL,476
-3,-0.0004305554363966583,3.4773680073964036e-05,475,AAPL,476
-2,0.0001869074004686774,0.00022168108054264143,475,AAPL,476
-1,0.0002921793141672518,0.0005138603947098932,476,AAPL,476
0,-0.0001294025072357333,0.00038445788747415997,476,AAPL,476
1,0.0006617452370834304,0.0010462031245575903,476,AAPL,476
2,0.0005419841279213329,0.0015881872524789232,476,AAPL,476
3,-0.0007499658329674328,0.0008382214195114904,475,AAPL,476
4,-0.00023925480890648086,0.0005989666106050095,474,AAPL,476
5,-0.000550569872648799,4.839673795621049e-05,474,AAPL,476
-5,0.00012829039649561104,0.00012829039649561104,482,MSFT,483
-4,-6.395951615684055e-05,6.433088033877048e-05,482,MSFT,483
-3,0.0002724016940155581,0.0003367325743543286,482,MSFT,483
-2,-0.001113665765048421,-0.0007769331906940923,483,MSFT,483
-1,4.2148211304033465e-05,-0.0007347849793900588,483,MSFT,483
0,0.0002271454980686356,-0.0005076394813214232,483,MSFT,483
1,-0.0005164757047931489,-0.001024115186114572,483,MSFT,483
2,5.520533064290956e-05,-0.0009689098554716625,483,MSFT,483
3,0.00027370539608999377,-0.0006952044593816687,482,MSFT,483
4,0.0004055413409073738,-0.0002896631184742949,482,MSFT,483
5,-0.00013568760495302393,-0.0004253507234273188,481,MSFT,483
-5,0.0007341265407179022,0.0007341265407179022,482,TSLA,486
-4,-0.0005561417250685256,0.00017798481564937655,483,TSLA,486
-3,-0.0008835833244846059,-0.0007055985088352294,483,TSLA,486
-2,0.0012818587631878103,0.000576260254352581,483,TSLA,486
-1,0.00021044542493132314,0.0007867056792839041,484,TSLA,486
0,0.0024875291036357667,0.003274234782919671,485,TSLA,486
1,0.001265498707133755,0.004539733490053426,486,TSLA,486
2,0.0008018090046566119,0.005341542494710037,485,TSLA,486
3,0.00027198592808616676,0.005613528422796204,484,TSLA,486
4,-0.0004102403616590571,0.005203288061137147,484,TSLA,486
5,0.001239906139736665,0.006443194200873812,483,TSLA,486
-5,0.0006819403265845013,0.0006819403265845013,454,JPM,457
-4,-0.00021397268017218416,0.00046796764641231713,454,JPM,457
-3,-0.00038297951154868534,8.49881348636318e-05,455,JPM,457
-2,0.0005081890766707157,0.0005931772115343475,456,JPM,457
-1,-0.0002538806715077777,0.0003392965400265698,456,JPM,457
0,0.000355447524446287,0.0006947440644728568,457,JPM,457
1,0.00022011017418046747,0.0009148542386533243,456,JPM,457
2,-0.0008952751536067682,1.9579085046556098e-05,456,JPM,457
3,0.0002714822970765555,0.0002910613821231116,456,JPM,457
4,-0.0005802857983966805,-0.0002892244162735689,456,JPM,457
5,0.00035836423976989785,6.913982349632892e-05,455,JPM,457
-5,0.00022424820865416122,0.00022424820865416122,469,XOM,472
-4,0.0008271240983582262,0.0010513723070123874,469,XOM,472
-3,0.0007974326651177347,0.001848804972130122,470,XOM,472
-2,0.0007230567772296603,0.0025718617493597825,471,XOM,472
-1,-0.00029288274301157756,0.002278979006348205,471,XOM,472
0,-0.00022975082517740988,0.002049228181170795,472,XOM,472
1,-0.0002604418359464271,0.001788786345224368,472,XOM,472
2,-0.0007349504407172373,0.0010538359045071308,472,XOM,472
3,8.895906404750044e-05,0.0011427949685546312,472,XOM,472
4,0.0007829564647226678,0.0019257514332772989,472,XOM,472
5,-0.0009907854989496857,0.0009349659343276132,472,XOM,472
