rel_day,aar,n_events,car
-5,0.00038062755792131866,2361.0,0.00038062755792131866
-4,6.094656126963788e-05,2363.0,0.00044157411919095655
-3,-0.00012661703452359195,2365.0,0.00031495708466736463
-2,0.00031347643342946087,2368.0,0.0006284335180968255
-1,3.1954291578990443e-06,2370.0,0.0006316289472547245
0,0.0005514388649702928,2373.0,0.0011830678122250172
1,0.0002772890990152577,2373.0,0.001460356911240275
2,-3.44081328894122e-05,2372.0,0.0014259487783508627
3,3.0864510403917544e-05,2369.0,0.0014568132887547802
4,-4.876292595898841e-06,2368.0,0.0014519369961588813
5,-1.351214314337176e-05,2365.0,0.0014384248530155096
