scorer,horizon,mean_coef,mean_tstat,n_tickers
classifier,1,-0.0003481748357364079,-0.16675115016412162,5
classifier,2,-5.379834951296256e-05,0.10957840011909525,5
classifier,3,0.000456644301052946,0.27343827895430584,5
classifier,4,0.0002797268337736049,0.10076924671449228,5
classifier,5,-0.00019342128954371189,0.030814907251445433,5
lexicon,1,-0.00026159824926221876,-0.04794187970305859,5
lexicon,2,6.182537628558654e-05,0.2662116511596288,5
lexicon,3,0.00040315444976362166,0.37319226815913914,5
lexicon,4,0.0004367357347543928,0.27679616655112643,5
lexicon,5,0.00014538508599276574,0.2192242082073937,5
