ticker,scorer,n_obs,coef_abs_sentiment,tstat_abs_sentiment,pvalue_abs_sentiment,coef_dispersion,tstat_dispersion,pvalue_dispersion,r_squared
AAPL,lexicon,732,0.0007199023113508573,0.9655271490790303,0.3342808445035095,0.0005773851172479029,0.6115339882457184,0.5408461243901537,0.001272169729091277
AAPL,classifier,732,0.0015577754662062845,1.780065317609343,0.07506527172902018,0.0009659030304833392,0.9476064092558313,0.3433298621103096,0.003582186777111307
MSFT,lexicon,702,-0.0001675107426388538,-0.2062868751118962,0.8365668302014917,-0.000451882257146181,-0.41871877224269993,0.6754216746651199,0.0002552919319759317
MSFT,classifier,702,-0.0005023877802561677,-0.4568310432020313,0.6477924910268484,-0.00041803076064386236,-0.3352099472893458,0.7374667188460731,0.0004067804484945148
TSLA,lexicon,739,-0.0025085495043531752,-1.5998994599785177,0.10962088915933059,-0.004419249010269559,-2.575521848618141,0.010008894960165448,0.008454857330137955
TSLA,classifier,739,-0.0012393843983379426,-0.769211914614253,0.44176751849004026,-0.004614376389414398,-2.5360958393037105,0.011209605145835256,0.007051771555967146
JPM,lexicon,701,0.000528942873738133,0.7319549628667752,0.46419605717331225,0.00039926264575527326,0.36593539197174124,0.7144132862794561,0.0007737534225572551
JPM,classifier,701,-0.0006349341785226743,-0.6843725344497918,0.49373995485373723,-0.00015156171607265517,-0.12859459757458142,0.8976784413253693,0.0007455519848414971
XOM,lexicon,709,-6.586273338079287e-06,-0.009958227515271529,0.9920546153318799,-0.00019997626211676393,-0.25036738192620134,0.802303251932139,8.829686141020865e-05
XOM,classifier,709,0.0011024388976726938,1.5362003552460801,0.12448924892391912,0.0003393728999975246,0.4226050461323859,0.6725834443254992,0.0026109871070224555
